Date,confirmedCount,deadCount,curedCount,confirmedIncr,deadIncr,curedIncr,currentConfirmedCount,currentSuspectedCount,suspectedCountIncr,currentNoSymptonsCount,currentExposed,currentQuarantined,deathRate,curedRate
20/01/2020,258,6,25,60,2,0,227,54,54,0,1739,922,2.33,9.69
21/01/2020,440,9,25,182,3,0,406,91,91,0,2197,1394,2.05,5.68
22/01/2020,571,17,30,131,8,5,524,348,257,0,5897,4928,2.98,5.25
23/01/2020,830,25,34,259,8,4,771,1072,257,0,9507,8420,3.01,4.1
24/01/2020,1287,41,38,457,16,4,1208,1965,680,0,15197,13967,3.19,2.95
25/01/2020,1975,56,49,688,15,11,1870,2684,1309,0,23431,21556,2.84,2.48
26/01/2020,2744,80,51,769,24,2,2613,5794,3806,0,32799,30453,2.92,1.86
27/01/2020,4515,106,60,1771,26,9,4349,6973,2077,0,47833,44132,2.35,1.33
28/01/2020,5974,132,103,1459,26,43,5739,9239,3248,0,65537,59990,2.21,1.72
29/01/2020,7736,170,124,1762,38,21,7442,12167,4148,0,88693,81947,2.2,1.6
30/01/2020,9720,213,171,1984,43,47,9336,15238,4812,0,113579,102427,2.19,1.76
31/01/2020,11821,259,243,2101,46,72,11319,17988,5019,0,136987,118478,2.19,2.06
01/02/2020,14411,304,328,2590,45,85,13779,19544,4562,0,163844,137594,2.11,2.28
02/02/2020,17238,361,475,2827,57,147,16402,21558,5173,0,189583,152700,2.09,2.76
03/02/2020,20471,425,632,3233,64,157,19414,23214,5072,0,221015,171329,2.08,3.09
04/02/2020,24363,491,892,3892,66,260,22980,23260,3971,0,252154,185555,2.02,3.66
05/02/2020,28060,564,1153,3697,73,261,26343,24702,5328,0,282813,186354,2.01,4.11
06/02/2020,31211,637,1542,3151,73,389,29032,26359,4833,0,314028,186045,2.04,4.94
07/02/2020,34598,723,2052,3387,86,510,31823,27657,4214,0,345498,189660,2.09,5.93
08/02/2020,37251,812,2651,2653,89,599,33788,28942,3916,0,371905,188183,2.18,7.12
09/02/2020,40235,909,3283,2984,97,632,36043,23589,4008,0,399487,187518,2.26,8.16
10/02/2020,42708,1017,3998,2473,108,715,37693,21675,3536,0,428438,187728,2.38,9.36
11/02/2020,44730,1114,4742,2022,97,744,38874,16067,3342,0,451462,185037,2.49,10.6
12/02/2020,59882,1368,5915,15152,254,1173,52599,13485,2807,0,471531,181386,2.28,9.88
13/02/2020,63932,1381,6728,4050,13,813,55823,10109,2450,0,493067,177984,2.16,10.52
14/02/2020,66576,1524,8101,2644,143,1373,56951,8969,2277,0,513183,169039,2.29,12.17
15/02/2020,68584,1666,9425,2008,142,1324,57493,8228,1918,0,529418,158764,2.43,13.74
16/02/2020,70635,1772,10853,2051,106,1428,58010,7264,1563,0,546016,150539,2.51,15.36
17/02/2020,72528,1870,12561,1893,98,1708,58097,6242,1432,0,560901,141552,2.58,17.32
18/02/2020,74279,2006,14387,1751,136,1826,57886,5248,1185,0,574418,135881,2.7,19.37
19/02/2020,74675,2121,16168,396,115,1781,56386,4922,1277,0,589163,126363,2.84,21.65
20/02/2020,75993,2239,18266,1318,118,2098,55488,5206,1614,0,606037,120302,2.95,24.04
21/02/2020,76392,2348,20673,399,109,2407,53371,5365,1361,0,618915,113564,3.07,27.06
22/02/2020,76846,2445,22907,454,97,2234,51494,4148,882,0,628517,106089,3.18,29.81
23/02/2020,77262,2595,24757,416,150,1850,49910,3434,620,0,635531,97481,3.36,32.04
24/02/2020,77779,2666,27353,517,71,2596,47760,2824,530,0,641742,87902,3.43,35.17
25/02/2020,78190,2718,29775,411,52,2422,45697,2491,439,0,647406,79108,3.48,38.08
26/02/2020,78630,2747,32531,440,29,2756,43352,2358,508,0,652174,71572,3.49,41.37
27/02/2020,78959,2791,36157,329,44,3626,40011,2308,452,0,656054,65225,3.53,45.79
28/02/2020,79389,2838,39049,430,47,2892,37502,1418,248,0,658587,58233,3.57,49.19
29/02/2020,79968,2873,41675,579,35,2626,35420,851,132,0,660716,51856,3.59,52.11
01/03/2020,80174,2915,44518,206,42,2843,32741,715,141,0,663240,46219,3.64,55.53
02/03/2020,80302,2946,47260,128,31,2742,30096,587,129,0,664899,40651,3.67,58.85
03/03/2020,80422,2984,49914,120,38,2654,27524,520,143,0,666397,36432,3.71,62.07
04/03/2020,80565,3015,52109,143,31,2195,25441,522,143,0,669025,32870,3.74,64.68
05/03/2020,80710,3045,53793,145,30,1684,23872,482,102,0,670854,29896,3.77,66.65
06/03/2020,80813,3073,55477,103,28,1684,22263,502,99,0,672458,26730,3.8,68.65
07/03/2020,80859,3100,57143,46,27,1666,20616,458,84,0,674038,23074,3.83,70.67
08/03/2020,80904,3123,58684,45,23,1541,19097,421,60,0,674760,20146,3.86,72.54
09/03/2020,80924,3140,59982,20,17,1298,17802,349,36,0,675338,16982,3.88,74.12
10/03/2020,80955,3162,61567,31,22,1585,16226,285,31,0,675886,14607,3.91,76.05
11/03/2020,80980,3173,62887,25,11,1320,14920,253,33,0,677243,13701,3.92,77.66
12/03/2020,81003,3180,64216,23,7,1329,13607,147,33,0,678088,12161,3.93,79.28
13/03/2020,81021,3194,65649,18,14,1433,12178,115,17,0,678935,10879,3.94,81.03
14/03/2020,81048,3204,67022,27,10,1373,10822,113,39,0,679759,10189,3.95,82.69
15/03/2020,81077,3218,67863,29,14,841,9996,134,41,0,680462,9582,3.97,83.7
16/03/2020,81116,3231,68799,39,13,936,9086,128,45,0,681404,9351,3.98,84.82
17/03/2020,81151,3242,69725,35,11,926,8184,119,21,0,682327,9222,4,85.92
18/03/2020,81235,3250,70547,84,8,822,7438,105,23,0,683281,9144,4,86.84
