date,new_case,new_death,current_case,total_case,total_death,new_recoveries,total_recovered
27/02/2020 20:20,19,0,24,37,2,0,7
28/02/2020 20:20,18,0,42,55,2,0,7
29/02/2020 20:20,39,0,80,94,2,1,8
01/03/2020 20:20,27,0,107,121,2,0,8
02/03/2020 20:20,56,1,162,177,3,0,8
03/03/2020 20:20,20,1,181,197,4,0,8
04/03/2020 20:20,67,0,248,264,4,0,8
05/03/2020 20:20,126,3,371,390,7,0,8
06/03/2020 20:20,209,2,578,599,9,0,8
07/03/2020 20:20,269,7,840,868,16,0,8
08/03/2020 20:20,236,3,1073,1104,19,0,8
09/03/2020 20:20,185,11,1247,1289,30,0,8
10/03/2020 20:20,338,3,1582,1627,33,0,8
11/03/2020 20:20,452,15,2019,2079,48,0,8
12/03/2020 20:20,540,13,2546,2619,61,0,8
13/03/2020 20:20,714,18,3242,3333,79,0,8
14/03/2020 20:20,761,12,3991,4094,91,0,8
15/03/2020 20:20,840,36,4795,4934,127,0,8
16/03/2020 20:20,1100,21,5874,6034,148,0,8
17/03/2020 20:20,997,27,6254,7031,175,590,598
18/03/2020 20:20,1277,89,7442,8308,264,0,598
19/03/2020 20:20,1691,108,8332,9999,372,693,1291
20/03/2020 20:20,1469,78,9431,11468,450,292,1583
21/03/2020 20:20,1678,112,10997,13146,562,0,1583
22/03/2020 20:20,1417,112,11689,14563,674,613,2196
23/03/2020 20:20,3488,186,14991,18051,860,0,2196
24/03/2020 20:20,2224,240,15894,20275,1100,1081,3277
25/03/2020 20:20,2662,231,17706,22937,1331,619,3896
26/03/2020 20:20,3564,365,19857,26501,1696,1048,4944
27/03/2020 20:20,3462,299,22268,29963,1995,752,5696
28/03/2020 20:20,4191,319,26140,34154,2314,0,5696
29/03/2020 20:20,2362,292,26708,36516,2606,1502,7198
30/03/2020 20:20,3977,418,29542,40493,3024,725,7923
31/03/2020 20:20,6887,498,34414,47380,3522,1517,9440
01/04/2020 20:20,4418,508,36833,51798,4030,1491,10931
02/04/2020 20:20,1923,1354,35909,53721,5384,1493,12424
03/04/2020 20:20,4755,1119,37965,58476,6503,1580,14004
04/04/2020 20:20,3877,1052,39360,62353,7555,1430,15434
05/04/2020 20:20,1703,517,39801,64056,8072,745,16179
06/04/2020 20:20,3555,832,41457,67611,8904,1067,17246
07/04/2020 20:20,3432,1416,41386,71043,10320,2087,19333
08/04/2020 20:20,3526,540,42455,74569,10860,1917,21250
09/04/2020 20:20,3895,1339,43059,78464,12199,1952,23202
10/04/2020 20:20,3946,986,44293,82410,13185,1726,24928
11/04/2020 20:20,2829,634,45029,85239,13819,1459,26387
12/04/2020 20:20,1466,561,45139,86705,14380,795,27182
13/04/2020 20:20,2428,574,46461,89133,14954,532,27714
14/04/2020 20:20,4996,761,49609,94129,15715,1087,28801
15/04/2020 20:20,2393,1437,48415,96522,17152,2150,30951
16/04/2020 20:20,2400,752,48206,98922,17904,1857,32808
17/04/2020 20:20,368,760,46206,99290,18664,1608,34416
18/04/2020 20:20,2335,641,46337,101625,19305,1563,35979
19/04/2020 20:20,714,395,46061,102339,19700,595,36574
20/04/2020 20:20,1864,546,46548,104203,20246,831,37405
21/04/2020 20:20,2423,530,46669,106626,20776,1772,39177
22/04/2020 20:20,1661,543,46311,108287,21319,1476,40653
23/04/2020 20:20,1502,515,45867,109789,21834,1431,42084
24/04/2020 20:20,1611,389,45684,111400,22223,1405,43489
25/04/2020 20:20,1397,369,45611,112797,22592,1101,44590
26/04/2020 20:20,419,242,45479,113216,22834,309,44899
27/04/2020 20:20,3420,436,47853,116636,23270,610,45509
28/04/2020 20:20,1381,367,47494,118017,23637,1373,46882
29/04/2020 20:20,1675,426,47401,119692,24063,1342,48224
30/04/2020 20:20,1061,289,46925,120753,24352,1248,49472
01/05/2020 20:20,563,218,46534,121316,24570,736,50208
02/05/2020 20:20,740,166,46758,122056,24736,350,50558
03/05/2020 20:20,287,135,46688,122343,24871,222,50780
04/05/2020 20:20,537,306,46332,122880,25177,587,51367
05/05/2020 20:20,1029,330,45666,123909,25507,1365,52732
06/05/2020 20:20,3898,278,48050,127807,25785,1236,53968
07/05/2020 20:20,586,178,47403,128393,25963,1055,55023
08/05/2020 20:20,598,243,46943,128991,26206,815,55838
09/05/2020 20:20,403,80,43060,129394,26286,4206,60044
10/05/2020 20:20,195,70,38913,129589,26356,4272,64316
11/05/2020 20:20,425,263,36224,130014,26619,2851,67167
12/05/2020 20:20,659,348,35270,130673,26967,1265,68432
13/05/2020 20:20,473,83,33070,131146,27050,2590,71022
14/05/2020 20:20,580,351,28153,131726,27401,5146,76168
15/05/2020 20:20,524,104,26044,132250,27505,2529,78697
16/05/2020 20:20,347,96,23827,132597,27601,2468,81165
17/05/2020 20:20,112,146,23716,132709,27747,77,81242
18/05/2020 20:20,459,131,21683,133168,27878,2361,83603
19/05/2020 20:20,489,119,21051,133657,27997,1002,84605
20/05/2020 20:20,389,110,19389,134046,28107,1941,86546
21/05/2020 20:20,296,83,17018,134342,28190,2584,89130
22/05/2020 20:20,366,74,15557,134708,28264,1753,90883
23/05/2020 20:20,233,43,14137,134941,28307,1610,92493
24/05/2020 20:20,107,35,12471,135048,28342,1738,94231
25/05/2020 20:20,334,65,11473,135382,28407,1267,95498
26/05/2020 20:20,257,98,7832,135639,28505,3800,99298
27/05/2020 20:20,178,66,7424,135817,28571,520,99818
28/05/2020 20:20,3098,66,9924,138915,28637,532,100350
29/05/2020 20:20,556,52,10077,139471,28689,351,100701
30/05/2020 20:20,1703,57,11585,141174,28746,138,100839
