date,new_case,new_death,current_case,total_case,total_death,new_recoveries,total_recovered,remove
22/02/2020 20:20,58,1,75,79,2,1,1,
23/02/2020 20:20,78,1,152,157,3,0,1,
24/02/2020 20:20,72,4,220,229,7,0,1,
25/02/2020 20:20,94,4,310,323,11,0,1,
26/02/2020 20:20,147,1,455,470,12,1,2,
27/02/2020 20:20,185,5,593,655,17,42,44,
28/02/2020 20:20,234,4,822,889,21,1,45,
29/02/2020 20:20,239,8,1049,1128,29,4,49,
01/03/2020 20:20,574,12,1578,1702,41,33,82,
02/03/2020 20:20,336,11,1837,2038,52,66,148,
03/03/2020 20:20,466,27,2265,2504,79,11,159,
04/03/2020 20:20,588,28,2709,3092,107,116,275,
05/03/2020 20:20,769,41,3299,3861,148,138,413,
06/03/2020 20:20,778,49,3919,4639,197,109,522,
07/03/2020 20:20,1247,36,5064,5886,233,66,588,
08/03/2020 20:20,1494,134,6391,7380,367,33,621,
09/03/2020 20:20,1799,97,7991,9179,464,102,723,
10/03/2020 20:20,977,169,8518,10156,633,281,1004,
11/03/2020 20:20,2313,197,10593,12469,830,41,1045,
12/03/2020 20:20,2653,190,12842,15122,1020,214,1259,
13/03/2020 20:20,2548,251,14958,17670,1271,181,1440,
14/03/2020 20:20,3499,176,17753,21169,1447,528,1968,
15/03/2020 20:20,3593,369,20607,24762,1816,370,2338,
16/03/2020 20:20,3235,350,23077,27997,2166,415,2753,
17/03/2020 20:20,3527,346,26066,31524,2512,192,2945,
18/03/2020 20:20,4208,476,28711,35732,2988,1087,4032,
19/03/2020 20:20,5324,428,33191,41056,3416,416,4448,
20/03/2020 20:20,5988,629,37859,47044,4045,691,5139,
21/03/2020 20:20,6554,796,42672,53598,4841,945,6084,
22/03/2020 20:20,5560,653,46625,59158,5494,954,7038,
23/03/2020 20:20,4783,603,50396,63941,6097,409,7447,
24/03/2020 20:20,5240,745,53995,69181,6842,896,8343,
25/03/2020 20:20,5198,685,57469,74379,7527,1039,9382,
26/03/2020 20:20,6202,714,61956,80581,8241,1001,10383,
27/03/2020 20:20,5907,921,66352,86488,9162,590,10973,
28/03/2020 20:20,5973,891,69997,92461,10053,1437,12410,
29/03/2020 20:20,5215,758,73806,97676,10811,648,13058,
30/03/2020 20:20,4047,815,75444,101723,11626,1594,14652,
31/03/2020 20:20,4053,840,77545,105776,12466,1112,15764,
01/04/2020 20:20,4783,729,80478,110559,13195,1121,16885,
02/04/2020 20:20,4669,762,82951,115228,13957,1434,18319,
03/04/2020 20:20,4585,769,85283,119813,14726,1484,19803,
04/04/2020 20:20,4807,683,88166,124620,15409,1241,21044,
05/04/2020 20:20,4318,526,91137,128938,15935,821,21865,
