date,new_case,new_death,current_case,total_case,total_death
27/02/2020 20:20,3,0,8,16,0
28/02/2020 20:20,4,0,12,20,0
29/02/2020 20:20,3,0,15,23,0
01/03/2020 20:20,12,0,27,35,0
02/03/2020 20:20,3,0,30,38,0
03/03/2020 20:20,11,0,41,49,0
04/03/2020 20:20,33,0,74,82,0
05/03/2020 20:20,26,1,89,108,1
06/03/2020 20:20,43,0,132,151,1
07/03/2020 20:20,41,1,172,192,2
08/03/2020 20:20,62,0,234,254,2
09/03/2020 20:20,39,1,272,293,3
10/03/2020 20:20,56,4,324,349,7
11/03/2020 20:20,70,0,394,419,7
12/03/2020 20:20,117,2,509,536,9
13/03/2020 20:20,189,1,697,725,10
14/03/2020 20:20,309,18,988,1034,28
15/03/2020 20:20,228,14,1200,1262,42
16/03/2020 20:20,137,22,1283,1399,64
17/03/2020 20:20,368,15,1623,1767,79
18/03/2020 20:20,612,33,2202,2379,112
19/03/2020 20:20,582,42,2742,2961,154
20/03/2020 20:20,646,32,3356,3607,186
21/03/2020 20:20,936,54,4210,4543,240
22/03/2020 20:20,602,24,4788,5145,264
23/03/2020 20:20,875,67,5554,6020,331
24/03/2020 20:20,1291,143,6702,7311,474
25/03/2020 20:20,1314,178,7838,8625,652
26/03/2020 20:20,1925,226,9537,10550,878
27/03/2020 20:20,2609,283,11863,13159,1161
28/03/2020 20:20,2303,294,13872,15462,1455
29/03/2020 20:20,2200,214,15858,17662,1669
30/03/2020 20:20,2369,375,17852,20031,2044
31/03/2020 20:20,2721,383,20190,22752,2427
01/04/2020 20:20,3910,662,23438,26662,3089
02/04/2020 20:20,3838,641,26635,30500,3730
03/04/2020 20:20,4025,735,29925,34525,4465
04/04/2020 20:20,3378,761,32542,37903,5226
05/04/2020 20:20,5338,645,37235,43241,5871
06/04/2020 20:20,3438,568,40105,46679,6439
07/04/2020 20:20,3287,1039,42353,49966,7478
08/04/2020 20:20,4965,1034,46284,54931,8512
09/04/2020 20:20,3928,1108,49104,58859,9620
10/04/2020 20:20,7846,1151,55590,66705,10771
11/04/2020 20:20,4732,840,59482,71437,11611
12/04/2020 20:20,4782,685,63579,76219,12296
13/04/2020 20:20,3926,745,66760,80145,13041
14/04/2020 20:20,4749,1043,70466,84894,14084
15/04/2020 20:20,4162,841,73787,89056,14925
16/04/2020 20:20,4175,1030,76932,93231,15955
17/04/2020 20:20,5064,936,81060,98295,16891
18/04/2020 20:20,4997,1110,84947,103292,18001
19/04/2020 20:20,5290,495,89742,108582,18496
20/04/2020 20:20,4228,557,93413,112810,19053
21/04/2020 20:20,3889,1168,96134,116699,20221
22/04/2020 20:20,4026,824,99336,120725,21045
23/04/2020 20:20,4144,719,102761,124869,21764
24/04/2020 20:20,4870,1003,106628,129739,22767
25/04/2020 20:20,4443,832,110239,134182,23599
26/04/2020 20:20,4037,405,113871,138219,24004
27/04/2020 20:20,3896,320,117447,142115,24324
28/04/2020 20:20,3613,903,120157,145728,25227
29/04/2020 20:20,3686,768,123075,149414,25995
30/04/2020 20:20,5455,658,127872,154869,26653
01/05/2020 20:20,5608,710,132770,160477,27363
02/05/2020 20:20,4346,588,136528,164823,27951
